name,stance,height_in,weight_lb,reach_in,date_of_birth,record,source_url
Jason Black,Orthodox,,,,,,
Kuniyoshi Hironaka,Orthodox,,,70.0,,,
Keith Wisniewski,Orthodox,,,,,,
Jutaro Nakao,Southpaw,,,,,,
Aoriqileng,Orthodox,,,69.0,,,
Raul Rosas Jr.,Switch,,,67.0,,,
Daniel Marcos,Orthodox,,,69.0,,,
Johnny Munoz,Orthodox,,,71.0,,,
Aiemann Zahabi,Orthodox,,,68.0,,,
Jay Perrin,Switch,,,67.0,,,
Cameron Else,Switch,,,71.0,,,
Cody Durden,Southpaw,,,67.0,,,
Jeff Molina,Orthodox,,,69.0,,,
Josh Appelt,Southpaw,,,,,,
Jeff Hughes,Orthodox,,,77.0,,,
Erik Apple,Orthodox,,,,,,
Ryan Larson,Orthodox,,,,,,
Bobby Voelker,Orthodox,,,74.0,,,
Brock Larson,Southpaw,,,71.0,,,
Kenji Arai,Southpaw,,,,,,
Jens Pulver,Southpaw,,,70.0,,,
Romie Aram,Orthodox,,,,,,
Dave Strasser,Orthodox,,,,,,
Joe Stevenson,Orthodox,,,70.0,,,
Felipe Arantes,Orthodox,,,73.0,,,
Song Yadong,Orthodox,,,67.0,,,
Josh Emmett,Orthodox,,,70.0,,,
Erik Perez,Orthodox,,,68.0,,,
Jerrod Sanders,Orthodox,,,72.0,,,
Yves Jabouin,Orthodox,,,68.0,,,
Andre Fili,Orthodox,,,74.0,,,
Maximo Blanco,Orthodox,,,71.0,,,
Edimilson Souza,Orthodox,,,74.0,,,
Godofredo Pepey,Orthodox,,,73.0,,,
Milton Vieira,Orthodox,,,,,,
Antonio Carvalho,Orthodox,,,70.0,,,
Iuri Alcantara,Southpaw,,,71.0,,,
Igor Araujo,Orthodox,,,77.0,,,
Sean Strickland,Orthodox,,,76.0,,,
George Sullivan,Orthodox,,,73.0,,,
Danny Mitchell,Orthodox,,,,,,
Ildemar Alcantara,Orthodox,,,78.0,,,
Viviane Araujo,Orthodox,,,68.0,,,
Tracy Cortez,Orthodox,,,65.0,,,
Karine Silva,Orthodox,,,67.0,,,
Natalia Silva,Southpaw,,,65.0,,,
Jennifer Maia,Orthodox,,,64.0,,,
Amanda Ribas,Orthodox,,,66.0,,,
Alexa Grasso,Orthodox,,,66.0,,,
Andrea Lee,Orthodox,,,69.0,,,
Katlyn Cerminara,Orthodox,,,68.0,,,
Roxanne Modafferi,Orthodox,,,69.0,,,
Montana De La Rosa,Orthodox,,,68.0,,,
Jessica Eye,Orthodox,,,66.0,,,
Alexis Davis,Orthodox,,,68.0,,,
Talita Bernardo,Orthodox,,,68.0,,,
Julio Arce,Southpaw,,,70.0,,,
Herbert Burns,Orthodox,,,73.0,,,
Montel Jackson,Southpaw,,,75.0,,,
Daniel Santos,Orthodox,,,67.0,,,
Andre Ewell,Southpaw,,,75.0,,,
Hakeem Dawodu,Orthodox,,,73.0,,,
Julian Erosa,Southpaw,,,74.0,,,
Sheymon Moraes,Orthodox,,,72.0,,,
Daniel Teymur,Orthodox,,,69.0,,,
Dan Ige,Orthodox,,,71.0,,,
Peter Petties,Southpaw,,,72.0,,,
Alice Ardelean,Orthodox,,,62.0,,,
Montserrat Conejo Ruiz,Southpaw,,,61.0,,,
Rayanne dos Santos,Orthodox,,,62.0,,,
Melissa Martinez,Southpaw,,,66.0,,,
