fight_id,event_name,fight_date,event_location,fighter_a,fighter_b,winner,weight_class,method,finish_round,finish_time,scheduled_rounds,main_event,source_url,title_fight
9748,UFC 290: Volkanovski vs. Rodriguez,2023-07-08,"Las Vegas, Nevada, USA",Shannon Ross,Jesus Aguilar,Jesus Aguilar,Flyweight,KO/TKO Punch,1.0,0:17,3,0,,0
9749,DWCS 6.2,2022-08-02,,Shannon Ross,Vinicius Salvador,Vinicius Salvador,Unknown,KO/TKO Punches,2.0,4:22,3,0,,0
9750,UFC Fight Night: Moraes vs. Sandhagen,2020-10-10,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Ben Rothwell,Marcin Tybura,Marcin Tybura,Heavyweight,U-DEC,3.0,5:00,3,0,,0
9751,UFC Fight Night: Smith vs. Teixeira,2020-05-13,"Jacksonville, Florida, USA",Ben Rothwell,Ovince Saint Preux,Ben Rothwell,Heavyweight,S-DEC,3.0,5:00,3,0,,0
9752,UFC Fight Night: Overeem vs. Rozenstruik,2019-12-07,"Washington, DC, USA",Ben Rothwell,Stefan Struve,Ben Rothwell,Heavyweight,KO/TKO Punches,2.0,4:57,3,0,,0
9753,UFC 164: Henderson vs Pettis 2,2013-08-31,"Milwaukee, Wisconsin, USA",Ben Rothwell,Brandon Vera,Ben Rothwell,Heavyweight,KO/TKO Punches,3.0,1:54,3,0,,0
9754,UFC 145: Jones vs Evans,2012-04-21,"Atlanta, Georgia, USA",Ben Rothwell,Brendan Schaub,Ben Rothwell,Heavyweight,KO/TKO Punch,1.0,1:10,3,0,,0
9755,UFC 115: Liddell vs Franklin,2010-06-12,"Vancouver, British Columbia, Canada",Ben Rothwell,Gilbert Yvel,Ben Rothwell,Heavyweight,U-DEC,3.0,5:00,3,0,,0
9756,UFC 104: Machida vs Shogun,2009-10-24,"Los Angeles, California, USA",Ben Rothwell,Cain Velasquez,Cain Velasquez,Heavyweight,KO/TKO Punches,2.0,0:58,3,0,,0
9757,IFL - 2007 Semifinals,2007-08-02,,Ben Rothwell,Krzysztof Soszynski,Ben Rothwell,Unknown,KO/TKO Punch,1.0,0:13,3,0,,0
9758,IFL - Gracie vs. Miletich,2006-09-23,,Ben Rothwell,Bryan Vetell,Ben Rothwell,Unknown,KO/TKO Punch,1.0,3:17,3,0,,0
9759,IFL - Legends Championship 2006,2006-04-29,,Ben Rothwell,Krzysztof Soszynski,Ben Rothwell,Unknown,KO/TKO Punches,1.0,3:59,3,0,,1
9760,Strikeforce - At the Dome,2008-02-23,,Rick Roufus,Maurice Smith,Maurice Smith,Unknown,SUB Armbar,1.0,1:53,3,0,,0
9761,UFC Fight Night: Song vs. Gutierrez,2023-12-09,"Las Vegas, Nevada, USA",Khalil Rountree Jr.,Anthony Smith,Khalil Rountree Jr.,Light Heavyweight,KO/TKO Punch,3.0,0:56,3,0,,0
9762,UFC 236: Holloway vs. Poirier 2,2019-04-13,"Atlanta, Georgia, USA",Khalil Rountree Jr.,Eryk Anders,Khalil Rountree Jr.,Light Heavyweight,U-DEC,3.0,5:00,3,0,,0
9763,UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",Khalil Rountree Jr.,Johnny Walker,Johnny Walker,Light Heavyweight,KO/TKO Elbow,1.0,1:57,3,0,,0
9764,UFC 226: Miocic vs. Cormier,2018-07-07,"Las Vegas, Nevada, USA",Khalil Rountree Jr.,Gokhan Saki,Khalil Rountree Jr.,Light Heavyweight,KO/TKO Punches,1.0,1:36,3,0,,0
9765,Strikeforce - Shamrock vs. Gracie,2006-03-10,,Ray Routh,Crafton Wallace,Crafton Wallace,Unknown,KO/TKO Knees,2.0,0:35,3,0,,0
9766,UFC Fight Night: Hermansson vs. Strickland,2022-02-05,"Las Vegas, Nevada, USA",Phil Rowe,Jason Witt,Phil Rowe,Welterweight,KO/TKO Punches,2.0,2:15,3,0,,0
9767,DWCS 3.9,2019-08-20,,Phil Rowe,Leon Shahbazyan,Phil Rowe,Unknown,KO/TKO Punches,3.0,0:16,3,0,,0
9768,Strikeforce - Destruction,2008-11-21,,Brad Royster,Darren Uyenoyama,Darren Uyenoyama,Unknown,U-DEC,3.0,5:00,3,0,,0
9769,UFC 317: Topuria vs. Oliveira,2025-06-28,"Las Vegas, Nevada, USA",Brandon Royval,Joshua Van,Joshua Van,Flyweight,U-DEC,3.0,5:00,3,0,,0
9770,UFC Fight Night: Royval vs. Taira,2024-10-12,"Las Vegas, Nevada, USA",Brandon Royval,Tatsuro Taira,Brandon Royval,Flyweight,S-DEC,5.0,5:00,5,1,,0
9771,UFC 274: Oliveira vs. Gaethje,2022-05-07,"Phoenix, Arizona, USA",Brandon Royval,Matt Schnell,Brandon Royval,Flyweight,SUB Guillotine Choke,1.0,2:14,3,0,,0
9772,UFC 305: Du Plessis vs. Adesanya,2024-08-17,"Perth, Western Australia, Australia",Jairzinho Rozenstruik,Tai Tuivasa,Jairzinho Rozenstruik,Heavyweight,S-DEC,3.0,5:00,3,0,,0
9773,UFC Fight Night: Rozenstruik vs. Almeida,2023-05-13,"Charlotte, North Carolina, USA",Jairzinho Rozenstruik,Jailton Almeida,Jailton Almeida,Heavyweight,SUB Rear Naked Choke,1.0,3:43,5,1,,0
9774,UFC Fight Night: Volkov vs. Rozenstruik,2022-06-04,"Las Vegas, Nevada, USA",Jairzinho Rozenstruik,Alexander Volkov,Alexander Volkov,Heavyweight,KO/TKO Punches,1.0,2:12,5,1,,0
